,VIM,HMGB2,PTMA,PPIA,LIG1,LGALS1,PCLAF,STMN1,MCM3,DUT,HMGN2,RAN
Germ cells,0,0,1,0,0,0,0,0,0,0,0,0
Basal cells,0,0,0,0,0,4,0,0,0,0,0,0
Erythroid-like and erythroid precursor cells,0,3,0,1,0,0,0,0,0,0,0,0
NK cells,0,0,3,0,0,0,0,0,0,0,0,0
Gamma delta T cells,0,0,3,0,0,1,0,0,0,0,0,0
T cells,1,2,7,2,0,11,0,0,0,0,0,0
B cells,0,3,34,0,0,0,0,0,0,0,0,0
Neutrophils,0,0,2,1,0,0,0,0,0,0,1,0
Langerhans cells,0,0,1,0,0,0,0,0,0,0,0,0
Dendritic cells,1,0,1,0,0,0,0,0,0,0,0,0
Fibroblasts,7,0,0,0,0,48,0,0,0,0,0,0
Pancreatic stellate cells,0,0,0,0,0,1,0,0,0,0,0,0
Endothelial cells,7,0,2,0,0,1,0,0,0,0,0,0
Pericytes,1,0,0,0,0,0,0,0,0,0,0,0
Alpha cells,0,0,0,0,0,0,0,1,0,0,0,0
Smooth muscle cells,3,0,0,0,0,2,0,0,0,0,0,0
Peritubular myoid cells,3,0,0,0,0,0,0,0,0,0,0,0
T memory cells,0,1,6,1,0,6,0,0,0,0,0,0
Enteric glia cells,3,0,0,0,0,2,0,0,0,0,0,0
Hepatic stellate cells,1,0,0,0,0,1,0,0,0,0,0,0
Mesothelial cells,0,0,0,0,0,6,0,0,0,0,0,0
Pulmonary alveolar type II cells,0,0,1,0,0,0,0,0,0,0,0,0
Macrophages,0,0,1,0,0,0,0,0,0,0,0,0
Ependymal cells,1,0,2,0,0,0,0,0,0,0,0,0
Adipocytes,0,0,0,0,0,6,0,0,0,0,0,0
Oligodendrocytes,0,0,2,0,0,0,0,3,0,0,0,0
Mast cells,3,0,1,0,0,0,0,0,0,0,0,0
Oligodendrocyte progenitor cells,0,1,0,0,0,0,0,0,0,0,0,0
Neural stem/precursor cells,0,2,2,0,0,0,0,6,0,0,1,0
Osteoblasts,0,0,0,0,0,4,0,0,0,0,0,0
Schwann cells,8,0,0,0,0,2,0,0,0,0,0,0
